scenario,coefficient,estimated_exponent,theoretical_exponent,absolute_error,passes_tolerance
correlation-0,intercept,-0.4782918934666619,-0.5,0.0217081065333381,True
correlation-0,x,-0.9715076794453024,-1.0,0.028492320554697637,True
correlation-0,omega,-0.9194006063388835,-1.0,0.08059939366111646,True
correlation-0,interaction,-1.4518822197999606,-1.5,0.04811778020003943,True
correlation-0.5,intercept,-0.49278000606621447,-0.5,0.007219993933785529,True
correlation-0.5,x,-0.9950305788334929,-1.0,0.004969421166507115,True
correlation-0.5,omega,-0.9381114064266074,-1.0,0.0618885935733926,True
correlation-0.5,interaction,-1.465097171360228,-1.5,0.0349028286397719,True
correlation-0.9,intercept,-0.4850431911759747,-0.5,0.01495680882402528,True
correlation-0.9,x,-0.9984292386313685,-1.0,0.0015707613686315458,True
correlation-0.9,omega,-0.9833837317568319,-1.0,0.016616268243168086,True
correlation-0.9,interaction,-1.4749637549179455,-1.5,0.025036245082054487,True
stationary-omega,intercept,-0.5044065661231434,-0.5,0.004406566123143385,True
stationary-omega,x,-0.9992381958485904,-1.0,0.0007618041514095841,True
stationary-omega,omega,-0.5108774769229634,-0.5,0.01087747692296337,True
stationary-omega,interaction,-1.0058702098330632,-1.0,0.005870209833063189,True
