scenario,sample_size,coefficient,rmse
correlation-0,100,intercept,0.26804337291215286
correlation-0,100,x,0.0671207099703454
correlation-0,100,omega,0.05602705232756164
correlation-0,100,interaction,0.011639427841821065
correlation-0,200,intercept,0.19202589650871735
correlation-0,200,x,0.03466301162955636
correlation-0,200,omega,0.03082601173319018
correlation-0,200,interaction,0.004422425582829588
correlation-0,500,intercept,0.12571325801486927
correlation-0,500,x,0.014318339541951159
correlation-0,500,omega,0.013057149001482872
correlation-0,500,interaction,0.0011685964686801442
correlation-0,1000,intercept,0.08859009412609671
correlation-0,1000,x,0.007149950262387456
correlation-0,1000,omega,0.0067899004656968845
correlation-0,1000,interaction,0.0004112846555747303
correlation-0.5,100,intercept,0.27459783223410816
correlation-0.5,100,x,0.07027003195516138
correlation-0.5,100,omega,0.06047368280470371
correlation-0.5,100,interaction,0.011944026585155258
correlation-0.5,200,intercept,0.19136663042947402
correlation-0.5,200,x,0.03545213018670752
correlation-0.5,200,omega,0.03176999790933666
correlation-0.5,200,interaction,0.004269886774570612
correlation-0.5,500,intercept,0.12561786040219108
correlation-0.5,500,x,0.01449613101416691
correlation-0.5,500,omega,0.01364108808302917
correlation-0.5,500,interaction,0.0011294413654680628
correlation-0.5,1000,intercept,0.08722312342715875
correlation-0.5,1000,x,0.007058725154281901
correlation-0.5,1000,omega,0.006934419522037173
correlation-0.5,1000,interaction,0.00040726548835783174
correlation-0.9,100,intercept,0.27064689740514375
correlation-0.9,100,x,0.10371699363178218
correlation-0.9,100,omega,0.09963389082634588
correlation-0.9,100,interaction,0.012078994761276819
correlation-0.9,200,intercept,0.19503233611010865
correlation-0.9,200,x,0.05098448881858284
correlation-0.9,200,omega,0.04932098187115074
correlation-0.9,200,interaction,0.004194288564089096
correlation-0.9,500,intercept,0.12480385091955115
correlation-0.9,500,x,0.020609074894112372
correlation-0.9,500,omega,0.020113000575698793
correlation-0.9,500,interaction,0.0011071780971409905
correlation-0.9,1000,intercept,0.08865481073653382
correlation-0.9,1000,x,0.010371812108896119
correlation-0.9,1000,omega,0.010335175544415095
correlation-0.9,1000,interaction,0.00040149676771101346
stationary-omega,100,intercept,0.17470298357976677
stationary-omega,100,x,0.032850494094307
stationary-omega,100,omega,0.10270803572623577
stationary-omega,100,interaction,0.024653326715429004
stationary-omega,200,intercept,0.12306944219593467
stationary-omega,200,x,0.01634399761571438
stationary-omega,200,omega,0.07119814462402593
stationary-omega,200,interaction,0.011820299454218055
stationary-omega,500,intercept,0.07833439702466286
stationary-omega,500,x,0.006539746087545373
stationary-omega,500,omega,0.045011156507170386
stationary-omega,500,interaction,0.004825207037849704
stationary-omega,1000,intercept,0.05446189500924841
stationary-omega,1000,x,0.0032913009744216307
stationary-omega,1000,omega,0.031555528809606645
stationary-omega,1000,interaction,0.002407481334030417
